DESDE,CONTINENTE,HACIA,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,TOTAL,name
CHILE,LATINOAMERICA,ARGENTINA,111230,104536,108756,93153,89034,84977,92158,91736,82834,84565,77176,,1020155,Argentina
CHILE,LATINOAMERICA,BOLIVIA,5479,4684,4935,5152,4597,3926,6186,4911,4887,4464,2819,,52040,Bolivia
CHILE,LATINOAMERICA,BRASIL,120455,96440,90435,72135,71427,76450,102337,94249,79283,66466,58837,,928514,Brazil
CHILE,LATINOAMERICA,COLOMBIA,29219,27449,25409,27025,28291,24527,29568,26968,27188,28416,25868,,299928,Colombia
CHILE,LATINOAMERICA,ECUADOR,4588,3850,4110,6345,5808,4582,5681,5094,4806,4277,4335,,53476,Ecuador
CHILE,LATINOAMERICA,I.FAKLAND/MALVINAS,473,556,430,183,224,266,324,463,282,204,441,,3846,Falkland Is.
CHILE,LATINOAMERICA,MEXICO,18072,14539,13849,13397,15201,13536,15149,12982,11369,12896,11837,,152827,Mexico
CHILE,LATINOAMERICA,PANAMA,23693,21224,18428,18959,20030,16421,21944,18954,19000,20379,17055,,216087,Panama
CHILE,LATINOAMERICA,PARAGUAY,4797,3729,3994,4372,4110,4100,4926,4565,4054,3968,3483,,46098,Paraguay
CHILE,LATINOAMERICA,PERU,96468,83074,81470,77019,74143,69478,85561,74797,72653,71785,74045,,860493,Peru
CHILE,LATINOAMERICA,REP. DOMINICANA,1886,1710,930,863,953,1233,1861,985,1121,970,810,,13322,Dominican Rep.
CHILE,LATINOAMERICA,URUGUAY,14692,13769,11796,10513,10758,9462,11139,10819,11133,9814,8219,,122114,Uruguay
CHILE,LATINOAMERICA,COSTA RICA,0,0,0,0,0,102,582,324,376,425,377,,2186,Costa Rica
CHILE,NORTEAMERICA,CANADA,6036,5097,5648,3243,4495,2939,3036,3036,2981,2496,2905,,41912,Canada
CHILE,NORTEAMERICA,ESTADOS UNIDOS,62061,50767,50882,49303,50380,44646,52933,47443,45170,44134,36412,,534131,United States
CHILE,EUROPA,ALEMANIA,1039,1021,1386,821,726,648,896,881,657,878,613,,9566,Germany
CHILE,EUROPA,ESPAÑA,21996,18682,19729,23000,26155,24480,25679,25436,27509,23005,20262,,255933,Spain
CHILE,EUROPA,FRANCIA,10867,10108,10996,10661,11138,10423,10440,10375,10201,8623,7782,,111614,France
CHILE,EUROPA,HOLANDA,4257,4417,4475,2248,2073,2114,2311,1465,1632,1915,1777,,28684,Netherlands
CHILE,EUROPA,ITALIA,5519,4970,5267,4138,5449,5058,5160,5867,5147,4519,3785,,54879,Italy
CHILE,EUROPA,REINO UNIDO,4089,3498,3921,3826,4247,3883,4101,4213,3543,3671,3178,,42170,United Kingdom
CHILE,ASIA,ISRAEL,255,219,127,175,178,116,86,133,178,151,143,,1761,Israel
CHILE,ASIA,EMI.ARABES UNIDOS,0,0,0,0,0,0,0,0,0,1385,922,,2307,United Arab Emirates
CHILE,PACIFICO,AUSTRALIA,17876,15439,16864,15920,13385,12254,15809,13058,12964,14414,15514,,163497,Australia
CHILE,PACIFICO,ISLA DE TAHITI,895,687,509,866,575,683,1170,786,981,683,730,,8565,Tahiti
CHILE,PACIFICO,NUEVA ZELANDIA,6085,4789,4884,3751,3855,3389,4793,4290,4652,5097,2965,,48550,New Zealand
